NOMBRE:ARMA:ROL:ORO
Pop:Bomba de Agua;15;HECHIZO;30;Bomba va!:MAGO:34
Arturo:Arco de la Luna;18;ARCO;38;La bella Luna bendice tus flechas:REY:38
Desconocido:Dagas Demoniacas;15;MELE;30;Dagas robadas al mismo Demonio:NECROFAGO:30
Loco:Palanca;13;MELE;26;Una palanca:NECROFAGO:26
Juan Carlos:Escopeta;18;FUSIL;36;Escopeta rebienta cabezas:REY:36
Finn:Espada Dorada;17;MELE;34;Espada creada en los mismos confines de la Leyenda:AVENTURERO:34
Jake:Puños;10;MELE;20;A puños como un valiente:AVENTURERO:20
Sangre de Dragon:Espada Runica;20;MELE;40;La Espada de la Leyenda, corta cabezas como panes:AVENTURERO:40
Dumbeldore:Geiser de Agua;18;HECHIZO;36;El uso del agua al nivel máximo:MAGO:36
Mago aprendiz:Chispas;15;HECHIZO;30;Hechizo electrizante:MAGO:30
The punisher:Francotirador refinado;20;FUSIL;40;Francotirador hecho por materiales refinados:TECNICO:40
Morador del Refugio:Francotirador improvisado;16;FUSIL;32;Francotirador formado por piezas rotas:TECNICO:32
Mosquetera:Fusil Automatico;14;FUSIL;28;Fusil automático:TECNICO:28
Isabel II:Arco del Sol;20;ARCO;40;El majestuoso Sol bendice tus flechas:REY:40
Felipe V:Bola de Fuego;17;HECHIZO;34;EL uso del fuego al nivel máximo:REY:34
